filepath,superclass,class
../archive (2)/train/golf/037.jpg,precision & target sports,golf
../archive (2)/train/golf/091.jpg,precision & target sports,golf
../archive (2)/train/golf/024.jpg,precision & target sports,golf
../archive (2)/train/golf/019.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_4736.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_1597.jpg,precision & target sports,golf
../archive (2)/train/golf/057.jpg,precision & target sports,golf
../archive (2)/train/golf/081.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_9311.jpg,precision & target sports,golf
../archive (2)/valid/golf/4.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_4742.jpg,precision & target sports,golf
../archive (2)/train/golf/095.jpg,precision & target sports,golf
../archive (2)/train/golf/026.jpg,precision & target sports,golf
../archive (2)/train/golf/132.jpg,precision & target sports,golf
../archive (2)/test/golf/1.jpg,precision & target sports,golf
../archive (2)/train/golf/119.jpg,precision & target sports,golf
../archive (2)/train/golf/064.jpg,precision & target sports,golf
../archive (2)/train/golf/142.jpg,precision & target sports,golf
../archive (2)/train/golf/078.jpg,precision & target sports,golf
../archive (2)/train/golf/072.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_5992.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_4064.jpg,precision & target sports,golf
../archive (2)/train/golf/098.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_3295.jpg,precision & target sports,golf
../archive (2)/train/golf/125.jpg,precision & target sports,golf
../archive (2)/train/golf/083.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_8876.jpg,precision & target sports,golf
../archive (2)/train/golf/066.jpg,precision & target sports,golf
../archive (2)/train/golf/015.jpg,precision & target sports,golf
../archive (2)/train/golf/106.jpg,precision & target sports,golf
../archive (2)/train/golf/025.jpg,precision & target sports,golf
../archive (2)/train/golf/046.jpg,precision & target sports,golf
../archive (2)/train/golf/124.jpg,precision & target sports,golf
../archive (2)/train/golf/050.jpg,precision & target sports,golf
../archive (2)/train/golf/018.jpg,precision & target sports,golf
../archive (2)/train/golf/153.jpg,precision & target sports,golf
../archive (2)/train/golf/101.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_2126.jpg,precision & target sports,golf
../archive (2)/train/golf/100.jpg,precision & target sports,golf
../archive (2)/train/golf/087.jpg,precision & target sports,golf
../archive (2)/train/golf/155.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_9118.jpg,precision & target sports,golf
../archive (2)/train/golf/020.jpg,precision & target sports,golf
../archive (2)/train/golf/030.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_1674.jpg,precision & target sports,golf
../archive (2)/train/golf/011.jpg,precision & target sports,golf
../archive (2)/train/golf/022.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_4615.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_2462.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_516.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_3140.jpg,precision & target sports,golf
../archive (2)/train/golf/134.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_9484.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_6146.jpg,precision & target sports,golf
../archive (2)/test/golf/4.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_241.jpg,precision & target sports,golf
../archive (2)/train/golf/068.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_1877.jpg,precision & target sports,golf
../archive (2)/train/golf/034.jpg,precision & target sports,golf
../archive (2)/train/golf/067.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_5252.jpg,precision & target sports,golf
../archive (2)/train/golf/114.jpg,precision & target sports,golf
../archive (2)/train/golf/143.jpg,precision & target sports,golf
../archive (2)/train/golf/084.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_2944.jpg,precision & target sports,golf
../archive (2)/train/golf/017.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_3510.jpg,precision & target sports,golf
../archive (2)/train/golf/146.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_3351.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_8619.jpg,precision & target sports,golf
../archive (2)/train/golf/042.jpg,precision & target sports,golf
../archive (2)/train/golf/076.jpg,precision & target sports,golf
../archive (2)/train/golf/035.jpg,precision & target sports,golf
../archive (2)/train/golf/074.jpg,precision & target sports,golf
../archive (2)/train/golf/047.jpg,precision & target sports,golf
../archive (2)/train/golf/137.jpg,precision & target sports,golf
../archive (2)/train/golf/043.jpg,precision & target sports,golf
../archive (2)/train/golf/090.jpg,precision & target sports,golf
../archive (2)/train/golf/135.jpg,precision & target sports,golf
../archive (2)/train/golf/096.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_5936.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_6575.jpg,precision & target sports,golf
../archive (2)/train/golf/009.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_801.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_1225.jpg,precision & target sports,golf
../archive (2)/valid/golf/1.jpg,precision & target sports,golf
../archive (2)/train/golf/121.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_5176.jpg,precision & target sports,golf
../archive (2)/train/golf/147.jpg,precision & target sports,golf
../archive (2)/train/golf/112.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_369.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_9281.jpg,precision & target sports,golf
../archive (2)/train/golf/110.jpg,precision & target sports,golf
../archive (2)/train/golf/152.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_6683.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_5960.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_5026.jpg,precision & target sports,golf
../archive (2)/train/golf/063.jpg,precision & target sports,golf
../archive (2)/train/golf/116.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_2125.jpg,precision & target sports,golf
../archive (2)/train/golf/094.jpg,precision & target sports,golf
../archive (2)/train/golf/040.jpg,precision & target sports,golf
../archive (2)/train/golf/048.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_133.jpg,precision & target sports,golf
../archive (2)/valid/golf/2.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_3435.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_789.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_437.jpg,precision & target sports,golf
../archive (2)/train/golf/006.jpg,precision & target sports,golf
../archive (2)/train/golf/102.jpg,precision & target sports,golf
../archive (2)/train/golf/099.jpg,precision & target sports,golf
../archive (2)/train/golf/104.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_672.jpg,precision & target sports,golf
../archive (2)/train/golf/150.jpg,precision & target sports,golf
../archive (2)/train/golf/127.jpg,precision & target sports,golf
../archive (2)/train/golf/039.jpg,precision & target sports,golf
../archive (2)/train/golf/093.jpg,precision & target sports,golf
../archive (2)/train/golf/129.jpg,precision & target sports,golf
../archive (1)/train/golf/Image_3174.jpg,precision & target sports,golf
../archive (2)/train/golf/012.jpg,precision & target sports,golf
../archive (2)/train/golf/109.jpg,precision & target sports,golf
../archive (2)/train/golf/151.jpg,precision & target sports,golf
../archive (1)/train/roller derby/Image_8179.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_143.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/115.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_5387.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/023.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/128.jpg,field & team ball sports,unknown
../archive (2)/valid/roller derby/3.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_2858.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_6620.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/078.jpg,field & team ball sports,unknown
../archive (2)/test/roller derby/5.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_3956.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/093.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_1260.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/002.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_5052.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/099.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_7329.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/140.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_4210.jpg,field & team ball sports,unknown
../archive (2)/valid/roller derby/1.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/006.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_6499.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_8498.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_6551.jpg,field & team ball sports,unknown
../archive (2)/valid/roller derby/4.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_8690.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/141.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_7829.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_9474.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_4524.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/028.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/015.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/065.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/019.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/150.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/090.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/087.jpg,field & team ball sports,unknown
../archive (2)/train/roller derby/053.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_319.jpg,field & team ball sports,unknown
../archive (1)/train/roller derby/Image_4419.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/120.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/060.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/091.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_9473.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/082.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/088.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/005.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_2750.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/080.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_6264.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_173.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/057.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/126.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_7798.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/152.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_6660.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/137.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_1604.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/037.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/026.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/072.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_7511.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_2297.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/027.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_501.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/129.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/077.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/110.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/076.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_8140.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_3206.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_4249.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/014.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_8334.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/021.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/034.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_7313.jpg,field & team ball sports,roller derby
../archive (2)/test/roller derby/1.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/096.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_444.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/124.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/018.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/112.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_4861.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_172.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_2.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_3252.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_8396.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_8277.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_550.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/066.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/062.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/159.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/130.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/102.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/108.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/054.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_7393.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/117.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/073.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/153.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/085.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/157.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_4933.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_718.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/012.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/147.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_6844.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_8012.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/156.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/084.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_4826.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/003.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_7920.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/145.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_1998.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_4899.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/044.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/029.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/064.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/151.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/094.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/063.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_5816.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_5706.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/160.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/083.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_534.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_3184.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/106.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/041.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/158.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_1602.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/155.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/113.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/069.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/154.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/067.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/161.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/013.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/123.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/042.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/118.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/001.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_2309.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_803.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_5330.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_1199.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_3056.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/149.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/043.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_6545.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/011.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/007.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_3678.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/068.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_5372.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_7163.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_6416.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_181.jpg,field & team ball sports,roller derby
../archive (2)/test/roller derby/2.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/074.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_9026.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/139.jpg,field & team ball sports,roller derby
../archive (2)/test/roller derby/4.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/100.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_7229.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/121.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_2967.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/030.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_2953.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_2864.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_6253.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_6308.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/048.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/061.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_3398.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/125.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/010.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_3429.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/089.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_4644.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/050.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_5697.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/056.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/040.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/071.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/097.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/122.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_3401.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/009.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/075.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/025.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/146.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_8515.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_9293.jpg,field & team ball sports,roller derby
../archive (1)/train/roller derby/Image_1590.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/049.jpg,field & team ball sports,roller derby
../archive (2)/train/roller derby/051.jpg,field & team ball sports,roller derby
../archive (1)/train/high jump/Image_3.jpg,track & field athletics,unknown
../archive (2)/train/high jump/071.jpg,track & field athletics,unknown
../archive (2)/train/high jump/066.jpg,track & field athletics,unknown
../archive (2)/train/high jump/038.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_4724.jpg,track & field athletics,unknown
../archive (2)/train/high jump/064.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_3734.jpg,track & field athletics,unknown
../archive (2)/train/high jump/009.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_5334.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_829.jpg,track & field athletics,unknown
../archive (2)/train/high jump/151.jpg,track & field athletics,unknown
../archive (2)/train/high jump/045.jpg,track & field athletics,unknown
../archive (2)/train/high jump/148.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_7763.jpg,track & field athletics,unknown
../archive (2)/train/high jump/049.jpg,track & field athletics,unknown
../archive (2)/train/high jump/085.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_1584.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_7287.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_5667.jpg,track & field athletics,unknown
../archive (2)/train/high jump/075.jpg,track & field athletics,unknown
../archive (2)/train/high jump/120.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_2723.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_8267.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_7403.jpg,track & field athletics,unknown
../archive (2)/train/high jump/158.jpg,track & field athletics,unknown
../archive (2)/train/high jump/091.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_5343.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_2074.jpg,track & field athletics,unknown
../archive (2)/train/high jump/126.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_8961.jpg,track & field athletics,unknown
../archive (2)/train/high jump/044.jpg,track & field athletics,unknown
../archive (2)/train/high jump/084.jpg,track & field athletics,unknown
../archive (2)/train/high jump/139.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_1608.jpg,track & field athletics,unknown
../archive (2)/train/high jump/039.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_754.jpg,track & field athletics,unknown
../archive (2)/train/high jump/090.jpg,track & field athletics,unknown
../archive (2)/train/high jump/078.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_5648.jpg,track & field athletics,unknown
../archive (1)/train/high jump/Image_3624.jpg,track & field athletics,high jump
../archive (2)/train/high jump/010.jpg,track & field athletics,high jump
../archive (2)/test/high jump/4.jpg,track & field athletics,high jump
../archive (2)/train/high jump/100.jpg,track & field athletics,high jump
